city_name,avg_annual_balance
TN: Knoxville,-12.782391304347826
TN: Memphis,-547.0784782608696
TN: Nashville,28.989347826086952
TX: Arlington,-5.023695652173874
TX: Austin,-135.7728260869565
TX: Corpus Christi,23.72543478260871
TX: Dallas,-42.9808695652174
TX: El Paso,124.2136956521739
TX: Ft. Worth,31.17826086956523
TX: Galveston,330.06739130434784
TX: Garland,-142.84282608695653
TX: Houston,-38.26586956521737
TX: Lubbock,-16.952173913043485
TX: San Antonio,-121.25847826086955
UT: Provo,-70.0178260869565
UT: Salt Lake City,-274.26108695652175
VA: Chesapeake,39.640217391304304
VA: Danville,-352.98826086956524
VA: Norfolk,-115.5082608695653
VA: Richmond,17.422608695652144
VA: Virginia Beach,40.149347826086895
VT: Burlington,90.8408695652174
VT: Rutland,2.3102173913043575
WA: Seattle,422.5565217391305
WA: Spokane,23.07130434782607
WA: Tacoma,34.630217391304406
WI: Madison,166.83782608695645
WI: Milwaukee,-48.20478260869556
WV: Charleston,97.43500000000004
WV: Huntington,8.313043478260916
WV: Wheeling,-38.62695652173912
WY: Casper,-305.2784782608696
WY: Cheyenne,36.73847826086953
